"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.8104658414,       3.962377505,       3.827908122,       7.364936237
          0,           0,           1,       0.534521941,       3.665517021,       3.463581288,       7.080490584
          0,           0,           2,      0.4476850523,       3.591778587,       3.375101273,       7.000028326
          0,           0,           3,      0.3860519929,       3.529218912,       3.320511368,       6.932529547
          0,           0,           4,      0.2921821764,       3.434371932,         3.2267042,       6.843052114
          0,           0,           5,      0.2292957972,       3.374264941,       3.161581276,       6.782840606
          0,           0,           6,      0.1673940465,       3.312906121,       3.106229659,       6.722524457
          0,           0,           7,      0.1131195101,       3.259812698,       3.049287618,       6.669751295
          0,           0,           8,     0.08309582738,       3.224350223,       2.956567564,       6.639042694
          0,           0,           9,     0.07644666809,       3.209768113,       2.826630845,       6.625478707
          0,           0,          10,     0.04430136596,       3.183961169,       2.787587026,       6.587766184
          0,           0,          11,    -0.01696930941,       3.144783812,       2.804282484,       6.513336202
          0,           0,          12,    -0.00294759802,       3.144137936,        2.81464094,       6.500512152
          0,           0,          13,    0.004964708637,       3.155422927,       2.857689448,       6.489755744
          0,           0,          14,   -0.001072172934,        3.16382054,       2.860955184,       6.464075508
          0,           0,          15,     0.06826648227,        3.27507424,       2.887641087,       6.511786376
          0,           0,          16,      0.1158836754,       3.329064005,       2.930761021,        6.54803412
          0,           0,          17,      0.1624407864,       3.364256819,       2.937958957,       6.564514992
          0,           0,          18,      0.2531799498,       3.435984021,       2.993199849,       6.641298007
          0,           0,          19,      0.2543772325,       3.433237274,       3.011989173,       6.649081237
          0,           0,          20,      0.2912630835,       3.477951642,       3.060228252,       6.695916552
          0,           0,          21,      0.3098612698,       3.506771396,       3.093733426,       6.727333434
          0,           0,          22,      0.3293056041,       3.539404876,       3.110968296,       6.752534386
          0,           0,          23,      0.3414906447,       3.573796811,       3.127626005,       6.769189297
          0,           0,          24,      0.3512354644,       3.597423973,       3.150467561,       6.768777908
          0,           0,          25,      0.3756681559,       3.627040303,       3.161539915,       6.796888291
          0,           0,          26,       0.396408367,        3.63050223,       3.178345536,       6.811004197
          0,           0,          27,      0.3999611231,       3.637095345,        3.19552583,       6.813254268
          0,           0,          28,      0.4046274068,       3.654804135,       3.194726447,        6.82549549
          0,           0,          29,      0.4053273705,       3.664863457,        3.19721223,       6.830858818
          0,           0,          30,      0.3933150188,       3.642293841,       3.193175443,       6.812188531
          0,           0,          31,      0.3953061107,        3.67017543,        3.20267675,       6.810119064
          0,           0,          32,      0.4029207258,       3.668655592,       3.209959443,       6.813757721
          0,           0,          33,      0.4192772442,       3.683132283,       3.213950295,       6.832846838
          0,           0,          34,      0.4185059648,       3.674605484,       3.223090316,       6.827993998
          0,           0,          35,      0.4231648814,       3.694817789,       3.261772574,       6.848429273
          0,           0,          36,      0.4134079669,       3.681642292,       3.242139148,       6.837264178
          0,           0,          37,      0.4121104959,       3.678092495,        3.23482796,       6.833476932
          0,           0,          38,      0.4048651311,       3.667969794,       3.214982783,       6.824359171
          0,           0,          39,      0.4012533593,       3.668091163,       3.213178702,       6.821868038
          0,           0,          40,      0.4066152275,       3.652298907,       3.212335232,       6.834450499
          0,           0,          41,      0.4030263687,       3.661621816,       3.233464529,       6.833107741
          0,           0,          42,      0.4054393412,       3.654377108,       3.245714427,       6.836755528
          0,           0,          43,      0.3948321376,       3.661690685,       3.213153305,       6.825882006
          0,           0,          44,      0.4182387428,       3.690510854,       3.226697517,       6.843755338
          0,           0,          45,      0.4057036443,       3.653699191,       3.237786712,       6.831291388
          0,           0,          46,      0.3852805397,        3.67690911,        3.26088125,       6.802342891
          0,           0,          47,      0.3602634767,       3.640498865,       3.204995622,       6.768981676
